Id,Label,timeset,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,clustering
5436,5436,,0,2,1,3,2,1,3,12,0.181853,0.188036,0,0.000067,0.000001,1
5437,5437,,0,1,1,2,1,1,2,11,0.222205,0.233439,0,0.000065,0.000067,0
5979,5979,,0,2,2,4,2,3,5,11,0.222222,0.233612,0,0.000067,0.000068,1
5984,5984,,0,2,1,3,2,1,3,12,0.18183,0.18792,0,0.000067,0.000001,1
7,7,,1,6,6,12,6,6,12,11,0.210166,0.219544,0.00202,0.000041,0.000042,0.3
8,8,,1,9,8,17,9,8,17,10,0.243935,0.257438,0.003794,0.000544,0.000527,0.25
9,9,,1,7,8,15,8,8,16,10,0.263057,0.280397,0.007817,0.001927,0.001932,0.321429
18,18,,1,9,9,18,9,9,18,11,0.212237,0.223743,0.002706,0.000109,0.000078,0.144444
5440,5440,,1,2,2,4,2,2,4,11,0.196166,0.203146,0,0.000009,0.000009,1
5442,5442,,1,3,3,6,3,3,6,12,0.173709,0.179118,0.000669,0.000001,0.000001,0.333333
5445,5445,,1,2,2,4,2,2,4,12,0.173698,0.178945,0,0.000001,0.000001,1
16,16,,5,22,22,44,25,25,50,9,0.321023,0.349739,0.005691,0.030678,0.031731,0.492095
4248,4248,,1,4,4,8,4,4,8,11,0.196353,0.203948,0.000735,0.00001,0.000011,0.333333
5443,5443,,1,2,2,4,2,2,4,11,0.209967,0.218361,0,0.000039,0.00004,1
5447,5447,,1,4,4,8,4,4,8,11,0.210074,0.218967,0.000006,0.000041,0.000041,0.75
609,609,,5,114,114,228,171,171,342,9,0.354982,0.398657,0.01894,0.119558,0.119369,0.283143
3995,3995,,1,8,8,16,8,9,17,11,0.210151,0.219718,0.00243,0.000033,0.000041,0.319444
3997,3997,,1,6,6,12,6,6,12,11,0.208436,0.217598,0.000911,0.000032,0.000032,0.466667
11,11,,1,1,1,2,1,1,2,12,0.175089,0.181087,0,0.000001,0.000002,0
12,12,,1,1,1,2,1,1,2,12,0.175089,0.181087,0,0.000001,0.000002,0
15,15,,1,1,1,2,1,1,2,12,0.175089,0.181087,0,0.000001,0.000002,0
193,193,,2,118,116,234,167,166,333,9,0.378492,0.421031,0.043086,0.0822,0.082583,0.175687
337,337,,5,70,69,139,77,76,153,10,0.31271,0.35246,0.000851,0.071508,0.070944,0.313872
340,340,,5,236,237,473,352,349,701,9,0.402454,0.460157,0.069411,0.182408,0.182176,0.129094
421,421,,5,80,81,161,126,128,254,9,0.343776,0.382787,0.012952,0.084317,0.085618,0.283499
478,478,,5,124,117,241,198,194,392,9,0.343449,0.387985,0.010489,0.10728,0.104987,0.183845
502,502,,5,169,170,339,265,262,527,9,0.346375,0.400596,0.015407,0.125019,0.122768,0.132157
507,507,,5,158,157,315,289,288,577,9,0.393724,0.441862,0.043447,0.144525,0.143383,0.202372
548,548,,5,139,138,277,151,153,304,10,0.314516,0.359281,0.007138,0.076578,0.07567,0.118757
580,580,,5,194,201,395,292,300,592,9,0.388478,0.443003,0.040468,0.164757,0.166784,0.147416
625,625,,5,5,5,10,5,5,10,10,0.268315,0.288157,0.00241,0.004251,0.004252,0.5
644,644,,5,90,90,180,133,133,266,9,0.332834,0.374187,0.01908,0.086907,0.086934,0.259585
679,679,,5,78,78,156,102,102,204,9,0.331534,0.371031,0.002516,0.086233,0.086268,0.346487
737,737,,5,105,104,209,145,145,290,9,0.344022,0.387338,0.019391,0.099003,0.09906,0.235165
1212,1212,,5,91,91,182,137,138,275,9,0.316343,0.358434,0.003215,0.070144,0.070113,0.197924
1382,1382,,5,213,213,426,331,331,662,9,0.395342,0.45079,0.068304,0.164318,0.166074,0.137128
3448,3448,,2,87,87,174,123,125,248,9,0.334299,0.371753,0.009197,0.056253,0.056162,0.279604
3494,3494,,2,108,107,215,140,139,279,9,0.371763,0.41409,0.018311,0.092109,0.091677,0.244116
3577,3577,,2,63,64,127,97,98,195,9,0.345505,0.378791,0.03747,0.04244,0.042318,0.350198
3797,3797,,2,139,143,282,239,241,480,9,0.385159,0.432204,0.037186,0.10997,0.111463,0.184926
4167,4167,,2,34,34,68,35,34,69,10,0.269594,0.295548,0.004508,0.006862,0.006961,0.013369
5439,5439,,1,2,2,4,2,2,4,12,0.175111,0.181318,0,0.000001,0.000002,1
21,21,,4,2,2,4,2,2,4,11,0.218421,0.226793,0,0.00004,0.00004,1
121,121,,4,11,11,22,12,12,24,10,0.278787,0.29659,0.013649,0.002186,0.002158,0.108974
133,133,,4,6,6,12,6,6,12,11,0.239383,0.252161,0.004726,0.000323,0.000327,0.266667
24,24,,3,2,2,4,3,3,6,11,0.220104,0.229057,0.000271,0.000054,0.000054,0
189,189,,2,9,10,19,12,13,25,10,0.281974,0.30119,0.003771,0.003341,0.003343,0.333333
5485,5485,,3,3,3,6,4,4,8,12,0.180816,0.186815,0.000082,0.000002,0.000002,0
27,27,,3,2,2,4,2,2,4,10,0.230695,0.240878,0,0.000116,0.000116,1
111,111,,3,14,14,28,15,15,30,9,0.299533,0.322639,0.005503,0.007089,0.007065,0.208791
192,192,,3,4,4,8,4,4,8,10,0.231009,0.241796,0.000004,0.000143,0.000143,0.5
28,28,,3,3,3,6,4,3,7,10,0.253848,0.268068,0.000089,0.000801,0.000807,0.333333
71,71,,3,5,4,9,5,4,9,10,0.230806,0.241554,0.00134,0.000139,0.000139,0.1
146,146,,2,70,67,137,93,92,185,9,0.339569,0.375906,0.030171,0.049193,0.048819,0.179296
202,202,,3,9,9,18,11,11,22,10,0.254251,0.269604,0.00398,0.000928,0.000934,0.222222
29,29,,3,4,3,7,5,4,9,12,0.19433,0.201568,0.000013,0.000006,0.000005,0.5
132,132,,3,10,10,20,16,17,33,11,0.228793,0.241541,0.003025,0.00013,0.00013,0.211111
147,147,,3,4,3,7,4,3,7,12,0.186278,0.193027,0.000006,0.000002,0.000002,0.333333
196,196,,3,15,15,30,22,23,45,11,0.2399,0.25312,0.011214,0.00021,0.00021,0.080952
30,30,,2,2,2,4,4,4,8,11,0.255172,0.268194,0,0.000579,0.000581,1
119,119,,2,5,5,10,7,7,14,11,0.259322,0.273934,0.000006,0.001523,0.001524,0.7
156,156,,2,59,58,117,88,85,173,10,0.342511,0.37657,0.020416,0.034693,0.034563,0.228229
32,32,,3,5,5,10,7,7,14,12,0.1936,0.200676,0.000985,0.000004,0.000004,0.4
37,37,,3,3,3,6,5,5,10,12,0.193652,0.200503,0.000638,0.000003,0.000003,0.333333
69,69,,3,3,3,6,5,3,8,12,0.193548,0.200214,0,0.000003,0.000003,1
128,128,,3,3,2,5,3,2,5,13,0.162226,0.166346,0.000671,0,0,0
183,183,,3,3,3,6,3,4,7,12,0.193548,0.200214,0,0.000003,0.000003,1
68,68,,3,2,2,4,2,2,4,13,0.162427,0.167085,0.000004,0,0,0
40,40,,3,2,2,4,4,4,8,12,0.192979,0.199943,0.000333,0.000004,0.000004,0
55,55,,3,8,8,16,15,15,30,11,0.239066,0.252602,0.005292,0.000235,0.000238,0.035714
75,75,,3,2,2,4,3,3,6,13,0.161862,0.166329,0,0,0,0
41,41,,3,4,4,8,4,4,8,12,0.186362,0.19338,0.000021,0.000002,0.000002,0.333333
140,140,,3,3,3,6,4,4,8,12,0.19316,0.200636,0.000218,0.000004,0.000004,0
5487,5487,,3,3,4,7,4,5,9,12,0.18629,0.1932,0.000001,0.000002,0.000002,0.5
42,42,,3,3,3,6,3,3,6,12,0.204942,0.212762,0.003572,0.000016,0.000012,0.333333
54,54,,3,9,9,18,10,10,20,13,0.170891,0.177601,0.002746,0,0,0.055556
97,97,,3,2,2,4,2,2,4,13,0.170406,0.17545,0,0,0,1
176,176,,2,3,3,6,3,3,6,11,0.256922,0.271035,0.004233,0.000755,0.001021,0.5
45,45,,2,4,4,8,4,4,8,10,0.275303,0.290799,0.001835,0.001381,0.001375,0.416667
77,77,,2,2,1,3,2,1,3,11,0.215889,0.223202,0,0.000076,0.000022,1
188,188,,3,8,8,16,10,10,20,11,0.220524,0.230962,0.003788,0.000089,0.000089,0.071429
48,48,,2,2,2,4,2,2,4,11,0.255218,0.26831,0.000027,0.000558,0.00056,0
180,180,,2,3,3,6,3,3,6,11,0.238552,0.248858,0.000003,0.000213,0.000213,0.333333
49,49,,2,33,34,67,41,41,82,10,0.313117,0.33775,0.016592,0.012476,0.012487,0.246881
72,72,,3,3,3,6,3,3,6,11,0.239085,0.249897,0,0.000207,0.000207,1
87,87,,2,11,11,22,13,13,26,10,0.284419,0.304956,0.00008,0.004771,0.004789,0.581818
90,90,,2,4,4,8,5,5,10,10,0.276304,0.292156,0.000629,0.001991,0.001984,0.5
99,99,,2,2,2,4,2,2,4,11,0.238493,0.248569,0,0.000204,0.000203,1
100,100,,2,24,23,47,33,32,65,10,0.311394,0.338467,0.010947,0.013919,0.013691,0.338768
120,120,,2,9,9,18,10,10,20,10,0.283358,0.302946,0.000002,0.005271,0.005224,0.666667
122,122,,2,2,2,4,2,2,4,11,0.247896,0.259928,0,0.000665,0.000664,1
136,136,,3,4,4,8,4,4,8,11,0.239105,0.250071,0.000039,0.000208,0.000207,0.5
160,160,,2,23,23,46,30,30,60,10,0.2938,0.317439,0.012515,0.007532,0.007496,0.26087
166,166,,2,8,8,16,9,9,18,10,0.283302,0.302715,0.000001,0.005019,0.004973,0.75
168,168,,2,3,3,6,3,3,6,11,0.238611,0.249031,0.000002,0.000219,0.000219,0.333333
175,175,,2,3,3,6,3,3,6,11,0.251503,0.264402,0,0.000959,0.000958,1
178,178,,2,49,48,97,63,64,127,10,0.328328,0.358194,0.006375,0.028926,0.028941,0.261905
184,184,,2,9,9,18,9,9,18,10,0.289526,0.309046,0.000017,0.004794,0.004813,0.777778
1780,1780,,2,37,38,75,49,50,99,10,0.320952,0.350684,0.002223,0.029056,0.032849,0.396761
1826,1826,,2,14,14,28,14,14,28,10,0.291309,0.31177,0.000317,0.006797,0.006824,0.505495
1836,1836,,2,31,31,62,41,41,82,10,0.308366,0.332903,0.000921,0.0183,0.018317,0.410753
1840,1840,,2,27,27,54,38,38,76,10,0.302041,0.32569,0.000353,0.01568,0.015725,0.512821
1852,1852,,2,75,73,148,113,112,225,9,0.33933,0.376454,0.006781,0.052321,0.051807,0.278559
3462,3462,,2,89,89,178,149,149,298,10,0.326581,0.361114,0.008718,0.039088,0.039199,0.287794
3484,3484,,2,117,117,234,214,211,425,9,0.373786,0.415924,0.04896,0.073862,0.073324,0.217514
3550,3550,,2,90,88,178,107,107,214,9,0.352037,0.390653,0.009917,0.051157,0.05066,0.262672
3839,3839,,2,12,12,24,13,13,26,10,0.291045,0.311233,0.000081,0.008061,0.008074,0.590909
3877,3877,,2,139,138,277,183,183,366,10,0.334609,0.377811,0.02473,0.047489,0.046533,0.127255
3878,3878,,2,111,112,223,177,177,354,10,0.338058,0.379671,0.010792,0.048068,0.048231,0.186535
7266,7266,,2,2,2,4,2,2,4,11,0.238493,0.248569,0,0.000204,0.000203,1
50,50,,3,3,3,6,5,4,9,12,0.186254,0.193021,0,0.000004,0.000004,1
187,187,,3,6,6,12,6,6,12,11,0.22789,0.239139,0.000656,0.000127,0.000127,0.466667
5534,5534,,3,4,4,8,5,5,10,12,0.186266,0.193195,0,0.000004,0.000004,0.666667
139,139,,3,1,1,2,1,1,2,14,0.145957,0.149658,0,0,0,0
145,145,,3,1,1,2,1,1,2,14,0.145957,0.149658,0,0,0,0
155,155,,3,6,5,11,8,7,15,12,0.193769,0.201282,0.002123,0.000003,0.000003,0.266667
206,206,,3,1,1,2,1,1,2,14,0.145957,0.149658,0,0,0,0
4239,4239,,3,3,3,6,3,3,6,13,0.162418,0.167212,0.000001,0,0,0.666667
4244,4244,,3,1,1,2,1,1,2,14,0.145957,0.149658,0,0,0,0
148,148,,3,2,3,5,4,5,9,12,0.193121,0.200509,0.000355,0.000004,0.000004,0.333333
154,154,,3,9,8,17,9,8,17,10,0.254722,0.270199,0.005912,0.000791,0.000797,0.083333
170,170,,3,2,2,4,4,4,8,12,0.192979,0.199943,0.000669,0.000004,0.000004,0
5495,5495,,3,3,4,7,5,6,11,12,0.193082,0.200578,0.00034,0.000004,0.000004,0.166667
58,58,,2,2,2,4,4,4,8,11,0.227119,0.237314,0,0.000122,0.000123,1
5524,5524,,2,2,2,4,4,4,8,11,0.227119,0.237314,0,0.000122,0.000123,1
60,60,,3,1,1,2,2,2,4,12,0.193496,0.199781,0,0.000003,0.000003,0
62,62,,3,4,4,8,4,4,8,10,0.25396,0.268414,0.002285,0.000797,0.000803,0.3
5496,5496,,3,5,5,10,5,5,10,10,0.253871,0.268385,0.001993,0.000797,0.000803,0.25
5516,5516,,3,3,2,5,3,2,5,12,0.168614,0.173243,0.000169,0.000013,0,0.166667
6727,6727,,3,5,5,10,5,5,10,11,0.203325,0.211897,0.002267,0.000026,0.000026,0.1
65,65,,3,2,2,4,2,2,4,10,0.23053,0.24067,0,0.000115,0.000116,1
6775,6775,,3,2,2,4,2,2,4,10,0.23053,0.24067,0,0.000115,0.000116,1
67,67,,4,3,4,7,3,4,7,11,0.218421,0.227747,0.000006,0.000005,0.00004,0.333333
115,115,,4,3,3,6,3,3,6,11,0.227387,0.237967,0.000168,0.000122,0.000122,0
169,169,,4,17,16,33,19,18,37,11,0.218669,0.229999,0.007098,0.000038,0.000038,0.102941
5527,5527,,4,7,7,14,8,8,16,11,0.227782,0.239612,0.003214,0.000122,0.000122,0.267857
70,70,,2,4,4,8,4,4,8,10,0.26747,0.284551,0,0.002737,0.00272,0.5
1760,1760,,2,39,41,80,51,53,104,9,0.332412,0.365203,0.004817,0.040178,0.041537,0.368922
153,153,,3,4,4,8,4,4,8,10,0.253826,0.268195,0.001921,0.000786,0.000792,0
7254,7254,,3,2,2,4,2,2,4,11,0.187561,0.193404,0.000334,0.000002,0.000002,0.5
73,73,,2,22,22,44,35,35,70,10,0.301757,0.327551,0.000573,0.012271,0.012297,0.318182
1441,1441,,2,3,3,6,3,3,6,10,0.253938,0.268154,0,0.001034,0.00104,1
1761,1761,,2,13,13,26,15,15,30,10,0.306825,0.330537,0.000045,0.020251,0.018278,0.67033
1910,1910,,2,10,11,21,16,15,31,10,0.301221,0.325043,0.000459,0.013894,0.012578,0.483516
1918,1918,,2,5,4,9,7,6,13,10,0.279272,0.295725,0,0.002754,0.002696,0.85
1923,1923,,2,13,13,26,17,17,34,9,0.309524,0.336605,0.000099,0.019351,0.019776,0.614286
3533,3533,,2,97,96,193,140,139,279,10,0.324306,0.362334,0.007297,0.03842,0.038443,0.205219
3617,3617,,2,26,26,52,26,26,52,11,0.244556,0.261283,0.000544,0.001203,0.001211,0.009231
3646,3646,,2,63,63,126,82,83,165,10,0.316032,0.347816,0.000858,0.031386,0.031403,0.356119
4069,4069,,2,10,10,20,12,12,24,10,0.299036,0.321701,0.000007,0.011496,0.011532,0.544444
5810,5810,,2,5,5,10,6,6,12,9,0.298665,0.319851,0.000002,0.006942,0.006949,0.85
5852,5852,,2,4,5,9,6,7,13,10,0.279299,0.295898,0.000008,0.002759,0.00274,0.633333
78,78,,2,3,3,6,3,3,6,11,0.247322,0.259344,0.000001,0.000557,0.000556,0.666667
172,172,,2,6,7,13,6,7,13,11,0.257886,0.271999,0.000042,0.000947,0.000958,0.333333
79,79,,2,2,2,4,2,2,4,11,0.248237,0.260299,0,0.000684,0.000688,1
80,80,,3,4,4,8,4,4,8,10,0.231956,0.243115,0.00003,0.000154,0.000154,0.333333
161,161,,3,6,6,12,8,8,16,10,0.254161,0.269067,0.001144,0.000805,0.000811,0.266667
85,85,,2,1,1,2,1,1,2,11,0.247195,0.258767,0,0.000464,0.000464,0
109,109,,3,2,2,4,2,2,4,11,0.217025,0.224889,0,0.000035,0.000035,0
91,91,,4,2,2,4,2,2,4,13,0.16208,0.166411,0.002671,0,0,0
143,143,,4,3,3,6,3,3,6,12,0.193315,0.200265,0.004006,0.000005,0.000005,0
5490,5490,,4,2,2,4,2,2,4,14,0.139521,0.142585,0.002004,0,0,0
94,94,,3,2,2,4,2,2,4,11,0.202797,0.210439,0,0.000015,0.000015,1
5503,5503,,3,4,4,8,4,4,8,11,0.202868,0.21093,0.001925,0.000015,0.000015,0.166667
98,98,,2,1,1,2,1,1,2,11,0.247195,0.258767,0,0.000464,0.000464,0
117,117,,2,4,4,8,4,4,8,10,0.278598,0.296322,0,0.00315,0.003154,1
144,144,,2,9,9,18,9,9,18,10,0.280985,0.299563,0.000941,0.004006,0.004024,0.222222
177,177,,4,2,2,4,2,2,4,11,0.238021,0.249538,0,0.000225,0.000229,1
105,105,,4,2,2,4,2,2,4,12,0.179489,0.185349,0,0.000001,0.000001,0.666667
5464,5464,,4,4,3,7,4,3,7,12,0.179511,0.18558,0.000087,0.000001,0.000001,0.4
108,108,,2,1,2,3,1,2,3,11,0.255172,0.268194,0,0.000555,0.000566,1
173,173,,2,4,3,7,5,3,8,11,0.25524,0.268483,0,0.000588,0.000581,0.583333
5479,5479,,4,2,2,4,2,2,4,11,0.218075,0.226418,0.000001,0.000037,0.000037,0
5480,5480,,4,5,5,10,5,5,10,12,0.179522,0.185868,0.000986,0.000036,0.000001,0.433333
5491,5491,,4,2,2,4,2,2,4,11,0.218058,0.226361,0.000498,0.000035,0.000035,0
5533,5533,,4,3,3,6,3,3,6,12,0.179511,0.18558,0.000333,0.000035,0.000001,0.35
127,127,,2,2,2,4,2,2,4,11,0.255172,0.268194,0,0.000564,0.000566,1
162,162,,2,2,2,4,3,3,6,11,0.255172,0.268194,0,0.000564,0.000566,1
5498,5498,,3,1,1,2,1,1,2,14,0.139589,0.142161,0,0,0,0
130,130,,3,1,2,3,1,2,3,11,0.187561,0.193404,0,0,0.000002,1
5535,5535,,3,4,4,8,4,4,8,12,0.169585,0.17532,0.000833,0,0,0
141,141,,3,3,3,6,3,3,6,11,0.227173,0.237603,0,0.000124,0.000125,1
5497,5497,,3,3,3,6,3,3,6,11,0.227173,0.237603,0,0.000124,0.000125,1
190,190,,4,1,1,2,1,1,2,13,0.162007,0.166019,0,0,0,0
3515,3515,,2,9,9,18,9,9,18,10,0.281287,0.300722,0.000011,0.00631,0.006313,0.722222
3747,3747,,2,59,59,118,64,64,128,10,0.305461,0.333887,0.000485,0.023356,0.023384,0.348627
210,210,,5,59,60,119,77,78,155,9,0.327508,0.364152,0.012356,0.047606,0.04789,0.228531
302,302,,5,112,114,226,141,143,284,9,0.351565,0.398731,0.00686,0.11485,0.112509,0.238165
346,346,,5,148,149,297,229,230,459,9,0.372483,0.420723,0.013292,0.142695,0.142946,0.215627
1074,1074,,5,84,84,168,113,117,230,9,0.33341,0.371359,0.006244,0.066599,0.066986,0.201961
1218,1218,,5,143,141,284,224,224,448,9,0.360795,0.408365,0.010731,0.136268,0.135374,0.238156
1230,1230,,5,97,97,194,153,155,308,9,0.318122,0.359185,0.003275,0.087205,0.087278,0.244953
1354,1354,,5,77,77,154,95,95,190,9,0.334415,0.372202,0.003814,0.082407,0.083047,0.316017
1555,1555,,5,153,154,307,253,249,502,9,0.37632,0.425447,0.01755,0.144024,0.145547,0.203885
1665,1665,,5,72,73,145,87,89,176,9,0.338137,0.377219,0.001575,0.088721,0.08913,0.374239
1678,1678,,5,122,123,245,163,162,325,9,0.369054,0.413793,0.007896,0.13212,0.13317,0.283753
1800,1800,,2,11,12,23,12,12,24,10,0.29383,0.315239,0.000005,0.011117,0.011777,0.863636
1824,1824,,2,81,80,161,160,158,318,9,0.336913,0.374021,0.021309,0.042787,0.041725,0.18179
1897,1897,,2,14,13,27,20,19,39,9,0.297128,0.318756,0.000438,0.005654,0.006573,0.352381
1902,1902,,2,1,2,3,1,2,3,10,0.277847,0.293502,0,0.000783,0.002109,1
1903,1903,,2,2,2,4,2,2,4,10,0.258718,0.273583,0,0.001188,0.00118,1
1909,1909,,2,33,36,69,44,47,91,9,0.321847,0.353545,0.00493,0.02431,0.025186,0.203414
1953,1953,,2,37,37,74,53,52,105,10,0.30472,0.331386,0.008707,0.018246,0.018259,0.212462
2170,2170,,5,60,61,121,92,93,185,9,0.339809,0.376244,0.002582,0.065888,0.067208,0.419672
2875,2875,,2,20,21,41,27,27,54,10,0.310857,0.336612,0.0014,0.014774,0.015096,0.338095
2878,2878,,2,8,8,16,16,15,31,9,0.271521,0.290771,0.000118,0.002872,0.00262,0.375
2881,2881,,2,11,11,22,20,19,39,9,0.268665,0.288542,0.000733,0.002594,0.002619,0.272727
3576,3576,,2,102,104,206,160,164,324,9,0.35208,0.395106,0.021826,0.066393,0.066625,0.214652
3645,3645,,2,89,86,175,115,113,228,9,0.346667,0.383094,0.008593,0.050332,0.049788,0.282942
3670,3670,,2,106,106,212,131,132,263,9,0.349861,0.389533,0.007246,0.056966,0.056881,0.256783
3697,3697,,2,43,43,86,55,57,112,10,0.295122,0.322764,0.000379,0.020307,0.020394,0.42389
3751,3751,,2,114,113,227,200,198,398,10,0.32949,0.36865,0.022281,0.042353,0.042366,0.179941
3793,3793,,2,40,40,80,55,55,110,10,0.302199,0.330138,0.000373,0.022139,0.022166,0.378846
3941,3941,,5,98,98,196,140,140,280,9,0.341336,0.381043,0.015687,0.089956,0.090078,0.235851
5514,5514,,3,2,2,4,2,2,4,10,0.253603,0.267485,0.000666,0.000784,0.00079,0
149,149,,3,1,1,2,1,1,2,11,0.202455,0.209509,0,0.000013,0.000013,0
152,152,,3,1,1,2,2,2,4,13,0.161771,0.165833,0,0,0,0
5507,5507,,3,4,4,8,4,4,8,11,0.202711,0.210607,0.000505,0.000013,0.000013,0
5481,5481,,3,3,3,6,3,3,6,11,0.203111,0.211013,0.001034,0.000013,0.000013,0.166667
5512,5512,,3,2,2,4,2,2,4,11,0.203282,0.211065,0.000066,0.000013,0.000013,0
5520,5520,,3,3,3,6,3,3,6,11,0.203225,0.211319,0.000008,0.000013,0.000013,0.333333
6728,6728,,3,2,2,4,2,2,4,11,0.203054,0.210696,0.000167,0.000013,0.000013,0.5
4238,4238,,3,2,2,4,2,2,4,13,0.162345,0.166664,0.000001,0,0,0.5
5462,5462,,3,2,2,4,2,2,4,13,0.162335,0.166606,0,0,0,1
164,164,,2,1,1,2,1,1,2,11,0.25515,0.268021,0,0.000555,0.000557,0
179,179,,2,3,2,5,3,3,6,11,0.255172,0.268194,0,0.000579,0.000566,1
200,200,,2,2,2,4,2,2,4,11,0.255195,0.268252,0.000669,0.000555,0.000557,0
2006,2006,,30,38,37,75,60,59,119,9,0.322638,0.349889,0.011477,0.014977,0.014402,0.273115
2276,2276,,30,76,77,153,167,168,335,9,0.349395,0.384283,0.01902,0.03536,0.036957,0.305366
3364,3364,,30,170,170,340,329,328,657,9,0.3683,0.419794,0.042993,0.082251,0.082225,0.127149
3406,3406,,30,126,126,252,255,255,510,9,0.354633,0.4008,0.021146,0.0618,0.061864,0.172952
3456,3456,,2,23,22,45,36,35,71,10,0.286395,0.307912,0.00173,0.010186,0.008862,0.519763
3469,3469,,2,65,64,129,123,123,246,9,0.350285,0.385894,0.005091,0.054145,0.053596,0.434375
3514,3514,,2,10,11,21,18,18,36,10,0.287136,0.305824,0.000009,0.005438,0.006809,0.863636
3602,3602,,2,10,10,20,14,15,29,10,0.282415,0.300341,0.000009,0.005438,0.005479,0.866667
3728,3728,,2,45,45,90,78,78,156,10,0.322747,0.352134,0.013648,0.018739,0.018733,0.269697
3731,3731,,2,41,41,82,50,50,100,10,0.306956,0.33386,0.000146,0.024576,0.024641,0.562195
3830,3830,,2,112,113,225,187,188,375,9,0.366104,0.407961,0.02501,0.082888,0.083081,0.248176
3930,3930,,30,117,119,236,240,242,482,9,0.36629,0.410652,0.026156,0.065381,0.067724,0.183471
5523,5523,,2,1,1,2,1,1,2,11,0.25515,0.268021,0,0.000555,0.000557,0
5545,5545,,2,1,1,2,1,1,2,11,0.25515,0.268021,0,0.000555,0.000557,0
6738,6738,,2,1,2,3,1,2,3,11,0.255195,0.268252,0.000334,0.000555,0.000557,0.5
174,174,,2,3,3,6,3,3,6,11,0.25986,0.275895,0,0.001359,0.001357,1
5550,5550,,3,2,2,4,2,2,4,11,0.202868,0.210618,0,0.000014,0.000014,1
5465,5465,,4,3,3,6,3,3,6,12,0.179478,0.185435,0,0.000001,0.000001,1
5468,5468,,4,3,3,6,3,3,6,12,0.179478,0.185435,0.000277,0.000001,0.000001,0.333333
5469,5469,,4,2,2,4,2,2,4,12,0.179466,0.185262,0.000085,0.000001,0.000001,0
5478,5478,,4,2,2,4,2,2,4,12,0.179466,0.185262,0,0.000001,0.000001,1
5489,5489,,4,2,2,4,2,2,4,12,0.179455,0.185204,0,0.000001,0.000001,1
